0	states	may04	may05	may06	may07	may08	may09	may11	may12	may13	may14	may15	may16	may18
0	Alabama	38	38	38	38	38	38	72	72	72	72	72	72	72
1	Alaska	55	55	55	55	63	63	63	63	63	63	63	63	63
2	Arizona	29	29	29	29	46	46	56	56	66	66	91	91	91
3	Arkansas	56	56	59	59	59	59	62	62	62	62	62	62	62
4	California	10	10	10	10	10	10	10	10	10	16	16	16	16
5	Colorado	46	46	46	46	46	46	46	46	46	46	46	46	46
6	Connecticut	13	13	13	13	13	13	13	13	13	13	13	13	13
7	Delaware	19	19	19	16	22	22	22	22	22	22	22	22	22
8	Florida	44	44	44	44	44	44	44	44	47	47	47	47	62
9	Georgia	65	65	65	65	65	65	65	65	65	65	65	65	65
10	Hawaii	12	12	12	21	21	21	21	21	21	21	21	21	21
11	Idaho	33	33	33	33	33	33	33	33	33	33	33	75	75
12	Illinois	15	15	15	15	15	15	15	15	15	15	15	15	15
13	Indiana	24	24	24	24	24	24	27	36	36	36	36	36	36
14	Iowa	47	47	47	47	56	56	56	56	56	56	65	65	65
15	Kansas	37	40	40	40	47	47	47	47	47	47	47	47	63
16	Kentucky	15	15	18	18	18	18	25	25	25	25	25	25	25
17	Louisiana	19	19	19	19	19	19	19	19	19	19	43	43	43
18	Maine	25	25	25	25	25	25	25	31	31	31	31	31	34
19	Maryland	16	16	16	16	19	19	19	19	19	19	31	31	31
20	Massachusetts	15	15	15	15	15	15	15	15	15	15	15	15	15
21	Michigan	16	16	16	16	16	16	16	16	16	16	16	16	16
22	Minnesota	25	25	28	28	28	28	28	28	28	28	28	28	37
23	Mississippi	41	41	41	50	50	50	50	63	63	63	63	63	63
24	Missouri	70	70	70	70	70	70	70	70	70	70	70	70	70
25	Montana	55	55	55	55	55	55	55	55	55	55	61	61	61
26	Nebraska	57	57	57	57	57	57	57	57	57	57	57	57	57
27	Nevada	19	19	19	19	19	45	45	45	45	45	48	48	48
28	New Hampshire	15	15	15	15	15	15	24	24	24	24	24	24	27
29	New Jersey	16	16	16	16	16	16	16	16	16	16	16	16	29
30	New Mexico	13	13	13	13	13	16	13	13	13	13	13	16	16
31	New York	9	9	9	9	9	9	9	9	9	9	12	12	12
32	North Carolina	18	18	18	18	32	28	28	28	28	28	28	28	28
33	North Dakota	76	76	76	76	76	76	76	76	76	76	76	76	82
34	Ohio	19	19	19	19	19	19	19	29	29	29	43	43	43
35	Oklahoma	80	80	80	80	80	80	80	80	80	80	89	89	89
36	Oregon	22	22	22	22	22	22	22	22	22	22	35	35	35
37	Pennsylvania	12	12	12	12	21	21	21	21	21	21	21	21	21
38	Rhode Island	19	19	19	19	19	28	31	31	31	31	40	40	43
39	South Carolina	48	48	48	48	48	48	48	51	51	51	51	51	69
40	South Dakota	92	92	92	92	92	92	92	92	92	92	92	92	92
41	Tennessee	42	42	48	48	48	48	48	48	48	48	48	48	48
42	Texas	29	29	29	29	39	39	39	39	39	39	39	39	42
43	Utah	62	62	62	62	62	62	62	62	62	62	62	86	86
44	Vermont	18	18	18	18	18	18	18	18	18	18	30	30	36
45	Virginia	30	30	30	30	30	30	30	30	30	30	33	33	33
46	Washington	13	16	16	16	16	16	16	16	16	16	16	16	16
47	West Virginia	33	33	33	33	33	33	33	33	33	33	33	33	36
48	Wisconsin	25	25	25	25	25	25	25	25	25	63	63	63	63
49	Wyoming	60	60	60	60	60	60	60	60	60	60	82	82	82
